"Year","State","CoC Number","CoC Name","Measures","Count"
"1/1/2014","LA","LA-506","Slidell/Southeast Louisiana CoC","Total Homeless","262"
"1/1/2014","LA","LA-507","Alexandria/Central Louisiana CoC","Total Homeless","141"
"1/1/2014","LA","LA-508","Houma-Terrebonne/Thibodaux CoC","Total Homeless","121"
"1/1/2014","LA","LA-509","Louisiana Balance of State","Total Homeless","90"
"1/1/2015","LA","LA-500","Lafayette/Acadiana CoC","Total Homeless","493"
"1/1/2015","LA","LA-502","Shreveport/Bossier/Northwest CoC","Total Homeless","390"
"1/1/2015","LA","LA-503","New Orleans/Jefferson Parish CoC","Total Homeless","1,703"
"1/1/2015","LA","LA-504","Baton Rouge CoC","Total Homeless","659"
"1/1/2015","LA","LA-505","Monroe/Northeast Louisiana CoC","Total Homeless","191"
"1/1/2015","LA","LA-506","Slidell/Southeast Louisiana CoC","Total Homeless","243"
"1/1/2015","LA","LA-507","Alexandria/Central Louisiana CoC","Total Homeless","154"
"1/1/2015","LA","LA-508","Houma-Terrebonne/Thibodaux CoC","Total Homeless","144"
"1/1/2015","LA","LA-509","Louisiana Balance of State","Total Homeless","104"
"1/1/2016","LA","LA-500","Lafayette/Acadiana CoC","Total Homeless","463"
"1/1/2016","LA","LA-502","Shreveport/Bossier/Northwest CoC","Total Homeless","478"
"1/1/2016","LA","LA-503","New Orleans/Jefferson Parish CoC","Total Homeless","1,626"
"1/1/2016","LA","LA-504","Baton Rouge CoC","Total Homeless","472"
"1/1/2016","LA","LA-505","Monroe/Northeast Louisiana CoC","Total Homeless","188"
"1/1/2016","LA","LA-506","Slidell/Southeast Louisiana CoC","Total Homeless","275"
"1/1/2016","LA","LA-507","Alexandria/Central Louisiana CoC","Total Homeless","167"
"1/1/2016","LA","LA-508","Houma-Terrebonne/Thibodaux CoC","Total Homeless","146"
"1/1/2016","LA","LA-509","Louisiana Balance of State","Total Homeless","179"
