"Year","State","CoC Number","CoC Name","Measures","Count"
"1/1/2014","AL","AL-501","Mobile City & County/Baldwin County CoC","Total Homeless","598"
"1/1/2014","AL","AL-502","Florence/Northwest Alabama CoC","Total Homeless","209"
"1/1/2014","AL","AL-503","Huntsville/North Alabama CoC","Total Homeless","536"
"1/1/2014","AL","AL-504","Montgomery City & County CoC","Total Homeless","490"
"1/1/2014","AL","AL-505","Gadsden/Northeast Alabama CoC","Total Homeless","438"
"1/1/2014","AL","AL-506","Tuscaloosa City & County CoC","Total Homeless","245"
"1/1/2014","AL","AL-507","Alabama Balance of State CoC","Total Homeless","716"
"1/1/2015","AL","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Total Homeless","1,153"
"1/1/2015","AL","AL-501","Mobile City & County/Baldwin County CoC","Total Homeless","578"
"1/1/2015","AL","AL-502","Florence/Northwest Alabama CoC","Total Homeless","245"
"1/1/2015","AL","AL-503","Huntsville/North Alabama CoC","Total Homeless","420"
"1/1/2015","AL","AL-504","Montgomery City & County CoC","Total Homeless","441"
"1/1/2015","AL","AL-505","Gadsden/Northeast Alabama CoC","Total Homeless","156"
"1/1/2015","AL","AL-506","Tuscaloosa City & County CoC","Total Homeless","339"
"1/1/2015","AL","AL-507","Alabama Balance of State CoC","Total Homeless","638"
"1/1/2016","AL","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Total Homeless","1,228"
"1/1/2016","AL","AL-501","Mobile City & County/Baldwin County CoC","Total Homeless","623"
"1/1/2016","AL","AL-502","Florence/Northwest Alabama CoC","Total Homeless","337"
"1/1/2016","AL","AL-503","Huntsville/North Alabama CoC","Total Homeless","385"
"1/1/2016","AL","AL-504","Montgomery City & County CoC","Total Homeless","367"
"1/1/2016","AL","AL-505","Gadsden/Northeast Alabama CoC","Total Homeless","167"
"1/1/2016","AL","AL-506","Tuscaloosa City & County CoC","Total Homeless","177"
"1/1/2016","AL","AL-507","Alabama Balance of State CoC","Total Homeless","827"
