"","Year","State","CoC.Number","CoC.Name","Measures","Count"
"56",2016-01-01,"Alaska","AK-501","Alaska Balance of State CoC","Sheltered Children of Parenting Youth",4
"57",2016-01-01,"Alaska","AK-501","Alaska Balance of State CoC","Sheltered Chronically Homeless",46
"58",2016-01-01,"Alaska","AK-501","Alaska Balance of State CoC","Sheltered Chronically Homeless Individuals",38
"59",2016-01-01,"Alaska","AK-501","Alaska Balance of State CoC","Sheltered Chronically Homeless People in Families",8
"60",2016-01-01,"Alaska","AK-501","Alaska Balance of State CoC","Sheltered Homeless",633
"61",2016-01-01,"Alaska","AK-501","Alaska Balance of State CoC","Sheltered Homeless Individuals",424
"62",2016-01-01,"Alaska","AK-501","Alaska Balance of State CoC","Sheltered Homeless People in Families",209
"63",2016-01-01,"Alaska","AK-501","Alaska Balance of State CoC","Sheltered Homeless Unaccompanied Children (Under 18)",16
"64",2016-01-01,"Alaska","AK-501","Alaska Balance of State CoC","Sheltered Homeless Unaccompanied Young Adults (Age 18-24)",37
"65",2016-01-01,"Alaska","AK-501","Alaska Balance of State CoC","Sheltered Homeless Unaccompanied Youth (Under 25)",53
"66",2016-01-01,"Alaska","AK-501","Alaska Balance of State CoC","Sheltered Homeless Veterans",52
"67",2016-01-01,"Alaska","AK-501","Alaska Balance of State CoC","Sheltered Parenting Youth (Under 25)",3
"68",2016-01-01,"Alaska","AK-501","Alaska Balance of State CoC","Sheltered Parenting Youth Age 18-24",3
"69",2016-01-01,"Alaska","AK-501","Alaska Balance of State CoC","Sheltered Parenting Youth Under 18",0
"70",2016-01-01,"Alaska","AK-501","Alaska Balance of State CoC","Total Homeless",835
"71",2016-01-01,"Alaska","AK-501","Alaska Balance of State CoC","Unsheltered Children of Parenting Youth",0
"72",2016-01-01,"Alaska","AK-501","Alaska Balance of State CoC","Unsheltered Chronically Homeless",26
"73",2016-01-01,"Alaska","AK-501","Alaska Balance of State CoC","Unsheltered Chronically Homeless Individuals",26
"74",2016-01-01,"Alaska","AK-501","Alaska Balance of State CoC","Unsheltered Chronically Homeless People in Families",0
"75",2016-01-01,"Alaska","AK-501","Alaska Balance of State CoC","Unsheltered Homeless",202
"76",2016-01-01,"Alaska","AK-501","Alaska Balance of State CoC","Unsheltered Homeless Individuals",198
"77",2016-01-01,"Alaska","AK-501","Alaska Balance of State CoC","Unsheltered Homeless People in Families",4
"78",2016-01-01,"Alaska","AK-501","Alaska Balance of State CoC","Unsheltered Homeless Unaccompanied Children (Under 18)",0
"79",2016-01-01,"Alaska","AK-501","Alaska Balance of State CoC","Unsheltered Homeless Unaccompanied Young Adults (Age 18-24)",26
"80",2016-01-01,"Alaska","AK-501","Alaska Balance of State CoC","Unsheltered Homeless Unaccompanied Youth (Under 25)",26
"81",2016-01-01,"Alaska","AK-501","Alaska Balance of State CoC","Unsheltered Homeless Veterans",27
"82",2016-01-01,"Alaska","AK-501","Alaska Balance of State CoC","Unsheltered Parenting Youth (Under 25)",0
"83",2016-01-01,"Alaska","AK-501","Alaska Balance of State CoC","Unsheltered Parenting Youth Age 18-24",0
"84",2016-01-01,"Alaska","AK-501","Alaska Balance of State CoC","Unsheltered Parenting Youth Under 18",0
"85",2016-01-01,"Alabama","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Children of Parenting Youth",19
"86",2016-01-01,"Alabama","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Chronically Homeless",92
"87",2016-01-01,"Alabama","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Chronically Homeless Individuals",92
"88",2016-01-01,"Alabama","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Chronically Homeless People in Families",0
"89",2016-01-01,"Alabama","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Homeless Individuals",927
"90",2016-01-01,"Alabama","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Homeless People in Families",301
"91",2016-01-01,"Alabama","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Homeless Unaccompanied Children (Under 18)",9
"92",2016-01-01,"Alabama","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Homeless Unaccompanied Young Adults (Age 18-24)",101
"93",2016-01-01,"Alabama","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Homeless Unaccompanied Youth (Under 25)",110
"94",2016-01-01,"Alabama","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Homeless Veterans",158
"95",2016-01-01,"Alabama","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Parenting Youth (Under 25)",12
"96",2016-01-01,"Alabama","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Parenting Youth Age 18-24",7
"97",2016-01-01,"Alabama","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Parenting Youth Under 18",5
"98",2016-01-01,"Alabama","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Sheltered Children of Parenting Youth",19
"99",2016-01-01,"Alabama","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Sheltered Chronically Homeless",29
"100",2016-01-01,"Alabama","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Sheltered Chronically Homeless Individuals",29
"101",2016-01-01,"Alabama","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Sheltered Chronically Homeless People in Families",0
"102",2016-01-01,"Alabama","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Sheltered Homeless",1032
"103",2016-01-01,"Alabama","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Sheltered Homeless Individuals",743
"104",2016-01-01,"Alabama","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Sheltered Homeless People in Families",289
"105",2016-01-01,"Alabama","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Sheltered Homeless Unaccompanied Children (Under 18)",9
"106",2016-01-01,"Alabama","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Sheltered Homeless Unaccompanied Young Adults (Age 18-24)",79
"107",2016-01-01,"Alabama","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Sheltered Homeless Unaccompanied Youth (Under 25)",88
"108",2016-01-01,"Alabama","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Sheltered Homeless Veterans",156
"109",2016-01-01,"Alabama","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Sheltered Parenting Youth (Under 25)",12
"110",2016-01-01,"Alabama","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Sheltered Parenting Youth Age 18-24",7
"111",2016-01-01,"Alabama","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Sheltered Parenting Youth Under 18",5
"112",2016-01-01,"Alabama","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Total Homeless",1228
"113",2016-01-01,"Alabama","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Unsheltered Children of Parenting Youth",0
"114",2016-01-01,"Alabama","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Unsheltered Chronically Homeless",63
"115",2016-01-01,"Alabama","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Unsheltered Chronically Homeless Individuals",63
"116",2016-01-01,"Alabama","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Unsheltered Chronically Homeless People in Families",0
"117",2016-01-01,"Alabama","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Unsheltered Homeless",196
"118",2016-01-01,"Alabama","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Unsheltered Homeless Individuals",184
"119",2016-01-01,"Alabama","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Unsheltered Homeless People in Families",12
"120",2016-01-01,"Alabama","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Unsheltered Homeless Unaccompanied Children (Under 18)",0
"121",2016-01-01,"Alabama","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Unsheltered Homeless Unaccompanied Young Adults (Age 18-24)",22
"122",2016-01-01,"Alabama","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Unsheltered Homeless Unaccompanied Youth (Under 25)",22
"123",2016-01-01,"Alabama","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Unsheltered Homeless Veterans",2
"124",2016-01-01,"Alabama","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Unsheltered Parenting Youth (Under 25)",0
"125",2016-01-01,"Alabama","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Unsheltered Parenting Youth Age 18-24",0
"126",2016-01-01,"Alabama","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Unsheltered Parenting Youth Under 18",0
"127",2016-01-01,"Alabama","AL-501","Mobile City & County/Baldwin County CoC","Children of Parenting Youth",9
"128",2016-01-01,"Alabama","AL-501","Mobile City & County/Baldwin County CoC","Chronically Homeless",80
"129",2016-01-01,"Alabama","AL-501","Mobile City & County/Baldwin County CoC","Chronically Homeless Individuals",80
"130",2016-01-01,"Alabama","AL-501","Mobile City & County/Baldwin County CoC","Chronically Homeless People in Families",0
"131",2016-01-01,"Alabama","AL-501","Mobile City & County/Baldwin County CoC","Homeless Individuals",477
"132",2016-01-01,"Alabama","AL-501","Mobile City & County/Baldwin County CoC","Homeless People in Families",146
"133",2016-01-01,"Alabama","AL-501","Mobile City & County/Baldwin County CoC","Homeless Unaccompanied Children (Under 18)",0
"134",2016-01-01,"Alabama","AL-501","Mobile City & County/Baldwin County CoC","Homeless Unaccompanied Young Adults (Age 18-24)",16
"135",2016-01-01,"Alabama","AL-501","Mobile City & County/Baldwin County CoC","Homeless Unaccompanied Youth (Under 25)",16
"136",2016-01-01,"Alabama","AL-501","Mobile City & County/Baldwin County CoC","Homeless Veterans",66
"137",2016-01-01,"Alabama","AL-501","Mobile City & County/Baldwin County CoC","Parenting Youth (Under 25)",7
"138",2016-01-01,"Alabama","AL-501","Mobile City & County/Baldwin County CoC","Parenting Youth Age 18-24",7
"139",2016-01-01,"Alabama","AL-501","Mobile City & County/Baldwin County CoC","Parenting Youth Under 18",0
"140",2016-01-01,"Alabama","AL-501","Mobile City & County/Baldwin County CoC","Sheltered Children of Parenting Youth",8
"141",2016-01-01,"Alabama","AL-501","Mobile City & County/Baldwin County CoC","Sheltered Chronically Homeless",30
"142",2016-01-01,"Alabama","AL-501","Mobile City & County/Baldwin County CoC","Sheltered Chronically Homeless Individuals",30
"143",2016-01-01,"Alabama","AL-501","Mobile City & County/Baldwin County CoC","Sheltered Chronically Homeless People in Families",0
"144",2016-01-01,"Alabama","AL-501","Mobile City & County/Baldwin County CoC","Sheltered Homeless",387
"145",2016-01-01,"Alabama","AL-501","Mobile City & County/Baldwin County CoC","Sheltered Homeless Individuals",253
"146",2016-01-01,"Alabama","AL-501","Mobile City & County/Baldwin County CoC","Sheltered Homeless People in Families",134
"147",2016-01-01,"Alabama","AL-501","Mobile City & County/Baldwin County CoC","Sheltered Homeless Unaccompanied Children (Under 18)",0
"148",2016-01-01,"Alabama","AL-501","Mobile City & County/Baldwin County CoC","Sheltered Homeless Unaccompanied Young Adults (Age 18-24)",11
"149",2016-01-01,"Alabama","AL-501","Mobile City & County/Baldwin County CoC","Sheltered Homeless Unaccompanied Youth (Under 25)",11
"150",2016-01-01,"Alabama","AL-501","Mobile City & County/Baldwin County CoC","Sheltered Homeless Veterans",56
"151",2016-01-01,"Alabama","AL-501","Mobile City & County/Baldwin County CoC","Sheltered Parenting Youth (Under 25)",6
"152",2016-01-01,"Alabama","AL-501","Mobile City & County/Baldwin County CoC","Sheltered Parenting Youth Age 18-24",6
"153",2016-01-01,"Alabama","AL-501","Mobile City & County/Baldwin County CoC","Sheltered Parenting Youth Under 18",0
"154",2016-01-01,"Alabama","AL-501","Mobile City & County/Baldwin County CoC","Total Homeless",623
"155",2016-01-01,"Alabama","AL-501","Mobile City & County/Baldwin County CoC","Unsheltered Children of Parenting Youth",1
"156",2016-01-01,"Alabama","AL-501","Mobile City & County/Baldwin County CoC","Unsheltered Chronically Homeless",50
"157",2016-01-01,"Alabama","AL-501","Mobile City & County/Baldwin County CoC","Unsheltered Chronically Homeless Individuals",50
"158",2016-01-01,"Alabama","AL-501","Mobile City & County/Baldwin County CoC","Unsheltered Chronically Homeless People in Families",0
"159",2016-01-01,"Alabama","AL-501","Mobile City & County/Baldwin County CoC","Unsheltered Homeless",236
"160",2016-01-01,"Alabama","AL-501","Mobile City & County/Baldwin County CoC","Unsheltered Homeless Individuals",224
"161",2016-01-01,"Alabama","AL-501","Mobile City & County/Baldwin County CoC","Unsheltered Homeless People in Families",12
"162",2016-01-01,"Alabama","AL-501","Mobile City & County/Baldwin County CoC","Unsheltered Homeless Unaccompanied Children (Under 18)",0
"163",2016-01-01,"Alabama","AL-501","Mobile City & County/Baldwin County CoC","Unsheltered Homeless Unaccompanied Young Adults (Age 18-24)",5
"164",2016-01-01,"Alabama","AL-501","Mobile City & County/Baldwin County CoC","Unsheltered Homeless Unaccompanied Youth (Under 25)",5
"165",2016-01-01,"Alabama","AL-501","Mobile City & County/Baldwin County CoC","Unsheltered Homeless Veterans",10
"166",2016-01-01,"Alabama","AL-501","Mobile City & County/Baldwin County CoC","Unsheltered Parenting Youth (Under 25)",1
"167",2016-01-01,"Alabama","AL-501","Mobile City & County/Baldwin County CoC","Unsheltered Parenting Youth Age 18-24",1
"168",2016-01-01,"Alabama","AL-501","Mobile City & County/Baldwin County CoC","Unsheltered Parenting Youth Under 18",0
"169",2016-01-01,"Alabama","AL-502","Florence/Northwest Alabama CoC","Children of Parenting Youth",0
"170",2016-01-01,"Alabama","AL-502","Florence/Northwest Alabama CoC","Chronically Homeless",39
"171",2016-01-01,"Alabama","AL-502","Florence/Northwest Alabama CoC","Chronically Homeless Individuals",32
"172",2016-01-01,"Alabama","AL-502","Florence/Northwest Alabama CoC","Chronically Homeless People in Families",7
"173",2016-01-01,"Alabama","AL-502","Florence/Northwest Alabama CoC","Homeless Individuals",194
"174",2016-01-01,"Alabama","AL-502","Florence/Northwest Alabama CoC","Homeless People in Families",143
"175",2016-01-01,"Alabama","AL-502","Florence/Northwest Alabama CoC","Homeless Unaccompanied Children (Under 18)",0
"176",2016-01-01,"Alabama","AL-502","Florence/Northwest Alabama CoC","Homeless Unaccompanied Young Adults (Age 18-24)",4
"177",2016-01-01,"Alabama","AL-502","Florence/Northwest Alabama CoC","Homeless Unaccompanied Youth (Under 25)",4
"178",2016-01-01,"Alabama","AL-502","Florence/Northwest Alabama CoC","Homeless Veterans",19
"179",2016-01-01,"Alabama","AL-502","Florence/Northwest Alabama CoC","Parenting Youth (Under 25)",0
"180",2016-01-01,"Alabama","AL-502","Florence/Northwest Alabama CoC","Parenting Youth Age 18-24",0
"181",2016-01-01,"Alabama","AL-502","Florence/Northwest Alabama CoC","Parenting Youth Under 18",0
"182",2016-01-01,"Alabama","AL-502","Florence/Northwest Alabama CoC","Sheltered Children of Parenting Youth",0
"183",2016-01-01,"Alabama","AL-502","Florence/Northwest Alabama CoC","Sheltered Chronically Homeless",20
"184",2016-01-01,"Alabama","AL-502","Florence/Northwest Alabama CoC","Sheltered Chronically Homeless Individuals",13
"185",2016-01-01,"Alabama","AL-502","Florence/Northwest Alabama CoC","Sheltered Chronically Homeless People in Families",7
"186",2016-01-01,"Alabama","AL-502","Florence/Northwest Alabama CoC","Sheltered Homeless",286
"187",2016-01-01,"Alabama","AL-502","Florence/Northwest Alabama CoC","Sheltered Homeless Individuals",155
"188",2016-01-01,"Alabama","AL-502","Florence/Northwest Alabama CoC","Sheltered Homeless People in Families",131
"189",2016-01-01,"Alabama","AL-502","Florence/Northwest Alabama CoC","Sheltered Homeless Unaccompanied Children (Under 18)",0
"190",2016-01-01,"Alabama","AL-502","Florence/Northwest Alabama CoC","Sheltered Homeless Unaccompanied Young Adults (Age 18-24)",2
"191",2016-01-01,"Alabama","AL-502","Florence/Northwest Alabama CoC","Sheltered Homeless Unaccompanied Youth (Under 25)",2
"192",2016-01-01,"Alabama","AL-502","Florence/Northwest Alabama CoC","Sheltered Homeless Veterans",17
"193",2016-01-01,"Alabama","AL-502","Florence/Northwest Alabama CoC","Sheltered Parenting Youth (Under 25)",0
"194",2016-01-01,"Alabama","AL-502","Florence/Northwest Alabama CoC","Sheltered Parenting Youth Age 18-24",0
"195",2016-01-01,"Alabama","AL-502","Florence/Northwest Alabama CoC","Sheltered Parenting Youth Under 18",0
"196",2016-01-01,"Alabama","AL-502","Florence/Northwest Alabama CoC","Total Homeless",337
"197",2016-01-01,"Alabama","AL-502","Florence/Northwest Alabama CoC","Unsheltered Children of Parenting Youth",0
"198",2016-01-01,"Alabama","AL-502","Florence/Northwest Alabama CoC","Unsheltered Chronically Homeless",19
"199",2016-01-01,"Alabama","AL-502","Florence/Northwest Alabama CoC","Unsheltered Chronically Homeless Individuals",19
"200",2016-01-01,"Alabama","AL-502","Florence/Northwest Alabama CoC","Unsheltered Chronically Homeless People in Families",0
"201",2016-01-01,"Alabama","AL-502","Florence/Northwest Alabama CoC","Unsheltered Homeless",51
"202",2016-01-01,"Alabama","AL-502","Florence/Northwest Alabama CoC","Unsheltered Homeless Individuals",39
"203",2016-01-01,"Alabama","AL-502","Florence/Northwest Alabama CoC","Unsheltered Homeless People in Families",12
"204",2016-01-01,"Alabama","AL-502","Florence/Northwest Alabama CoC","Unsheltered Homeless Unaccompanied Children (Under 18)",0
"205",2016-01-01,"Alabama","AL-502","Florence/Northwest Alabama CoC","Unsheltered Homeless Unaccompanied Young Adults (Age 18-24)",2
"206",2016-01-01,"Alabama","AL-502","Florence/Northwest Alabama CoC","Unsheltered Homeless Unaccompanied Youth (Under 25)",2
"207",2016-01-01,"Alabama","AL-502","Florence/Northwest Alabama CoC","Unsheltered Homeless Veterans",2
"208",2016-01-01,"Alabama","AL-502","Florence/Northwest Alabama CoC","Unsheltered Parenting Youth (Under 25)",0
"209",2016-01-01,"Alabama","AL-502","Florence/Northwest Alabama CoC","Unsheltered Parenting Youth Age 18-24",0
"210",2016-01-01,"Alabama","AL-502","Florence/Northwest Alabama CoC","Unsheltered Parenting Youth Under 18",0
"211",2016-01-01,"Alabama","AL-503","Huntsville/North Alabama CoC","Children of Parenting Youth",2
"212",2016-01-01,"Alabama","AL-503","Huntsville/North Alabama CoC","Chronically Homeless",102
"213",2016-01-01,"Alabama","AL-503","Huntsville/North Alabama CoC","Chronically Homeless Individuals",100
"214",2016-01-01,"Alabama","AL-503","Huntsville/North Alabama CoC","Chronically Homeless People in Families",2
"215",2016-01-01,"Alabama","AL-503","Huntsville/North Alabama CoC","Homeless Individuals",283
"216",2016-01-01,"Alabama","AL-503","Huntsville/North Alabama CoC","Homeless People in Families",102
"217",2016-01-01,"Alabama","AL-503","Huntsville/North Alabama CoC","Homeless Unaccompanied Children (Under 18)",3
"218",2016-01-01,"Alabama","AL-503","Huntsville/North Alabama CoC","Homeless Unaccompanied Young Adults (Age 18-24)",30
"219",2016-01-01,"Alabama","AL-503","Huntsville/North Alabama CoC","Homeless Unaccompanied Youth (Under 25)",33
"220",2016-01-01,"Alabama","AL-503","Huntsville/North Alabama CoC","Homeless Veterans",29
"221",2016-01-01,"Alabama","AL-503","Huntsville/North Alabama CoC","Parenting Youth (Under 25)",1
"222",2016-01-01,"Alabama","AL-503","Huntsville/North Alabama CoC","Parenting Youth Age 18-24",1
"223",2016-01-01,"Alabama","AL-503","Huntsville/North Alabama CoC","Parenting Youth Under 18",0
"224",2016-01-01,"Alabama","AL-503","Huntsville/North Alabama CoC","Sheltered Children of Parenting Youth",2
"225",2016-01-01,"Alabama","AL-503","Huntsville/North Alabama CoC","Sheltered Chronically Homeless",59
"226",2016-01-01,"Alabama","AL-503","Huntsville/North Alabama CoC","Sheltered Chronically Homeless Individuals",57
"227",2016-01-01,"Alabama","AL-503","Huntsville/North Alabama CoC","Sheltered Chronically Homeless People in Families",2
"228",2016-01-01,"Alabama","AL-503","Huntsville/North Alabama CoC","Sheltered Homeless",298
"229",2016-01-01,"Alabama","AL-503","Huntsville/North Alabama CoC","Sheltered Homeless Individuals",196
"230",2016-01-01,"Alabama","AL-503","Huntsville/North Alabama CoC","Sheltered Homeless People in Families",102
"231",2016-01-01,"Alabama","AL-503","Huntsville/North Alabama CoC","Sheltered Homeless Unaccompanied Children (Under 18)",3
"232",2016-01-01,"Alabama","AL-503","Huntsville/North Alabama CoC","Sheltered Homeless Unaccompanied Young Adults (Age 18-24)",15
"233",2016-01-01,"Alabama","AL-503","Huntsville/North Alabama CoC","Sheltered Homeless Unaccompanied Youth (Under 25)",18
"234",2016-01-01,"Alabama","AL-503","Huntsville/North Alabama CoC","Sheltered Homeless Veterans",21
"235",2016-01-01,"Alabama","AL-503","Huntsville/North Alabama CoC","Sheltered Parenting Youth (Under 25)",1
"236",2016-01-01,"Alabama","AL-503","Huntsville/North Alabama CoC","Sheltered Parenting Youth Age 18-24",1
"237",2016-01-01,"Alabama","AL-503","Huntsville/North Alabama CoC","Sheltered Parenting Youth Under 18",0
"238",2016-01-01,"Alabama","AL-503","Huntsville/North Alabama CoC","Total Homeless",385
"239",2016-01-01,"Alabama","AL-503","Huntsville/North Alabama CoC","Unsheltered Children of Parenting Youth",0
"240",2016-01-01,"Alabama","AL-503","Huntsville/North Alabama CoC","Unsheltered Chronically Homeless",43
"241",2016-01-01,"Alabama","AL-503","Huntsville/North Alabama CoC","Unsheltered Chronically Homeless Individuals",43
"242",2016-01-01,"Alabama","AL-503","Huntsville/North Alabama CoC","Unsheltered Chronically Homeless People in Families",0
"243",2016-01-01,"Alabama","AL-503","Huntsville/North Alabama CoC","Unsheltered Homeless",87
"244",2016-01-01,"Alabama","AL-503","Huntsville/North Alabama CoC","Unsheltered Homeless Individuals",87
"245",2016-01-01,"Alabama","AL-503","Huntsville/North Alabama CoC","Unsheltered Homeless People in Families",0
"246",2016-01-01,"Alabama","AL-503","Huntsville/North Alabama CoC","Unsheltered Homeless Unaccompanied Children (Under 18)",0
